text,trans,type
$noun$percentUP,$1$2UP,
$noun$percent回復,$1恢复$2,
$noun$num回復,$1恢复$2,
$nounUP,$1UP,
$noun$num,$1$2,
$noun$num～$num倍アピール,$1$2～$3倍Appeal,
$noun$num〜$num倍アピール,$1$2〜$3倍Appeal,
$nounに$noun$num～$num倍アピール,对$1$2$3～$4倍Appeal,
$nounに$noun$num〜$num倍アピール,对$1$2$3〜$4倍Appeal,
$nounに$noun＆$noun$num倍アピール,对$1$2＆$3$4倍Appeal,
$nounに$noun&$noun$num倍アピール,对$1$2＆$3$4倍Appeal,
$nounに$noun＆$noun＆$noun$num倍アピール,对$1$2＆$3＆$4$5倍Appeal,
$nounに$noun$num倍アピール,对$1$2$3倍Appeal,
$nounに$noun＆$noun＆$noun最大$num倍アピール,对$1$2＆$3＆$4最大$5倍Appeal,
$nounに$noun＆$noun＆$noun 最大$num倍アピール,对$1$2＆$3＆$4最大$5倍Appeal,
$noun開始時$noun$percent回復,$1开始时$2恢复$3,
$noun開始時に$noun$percent回復,$1开始时$2恢复$3,
$nounの$noun$percent回復,$1的$2恢复$3,
$noun$num倍アピール,$1$2倍Appeal,
$noun$noun$num倍アピール,对$1$2$3倍Appeal,
$noun最大$num倍アピール,$1最大$2倍Appeal,
$noun$noun最大$num倍アピール,对$1$2最大$3倍Appeal,
$nounに$noun最大$num倍アピール,对$1$2最大$3倍Appeal,
$noun＆$noun$num倍アピール,$1＆$2$3倍Appeal,
$noun＆$noun$percentUP,$1＆$2$3UP,
[$numターン],[$1回合],
[条件:$numターン以前],[条件:$1回合前],
[条件:$numターン以降],[条件:$1回合后],
[条件:$name],[条件:$1],
[条件:$noun],[条件:$1],
[条件:$noun$num以上],[条件:$1$2以上],
[条件:$noun$num以下],[条件:$1$2以下],
[条件:$noun$percent以上],[条件:$1$2以上],
[条件:$noun$percent以下],[条件:$1$2以下],
[条件:$nounDOWNが付与されている場合],[条件:存在$1DOWN状态时],
[条件:$nounUPが付与されている場合],[条件:存在$1UP状态时],
[条件:$nounCUTが付与されている場合],[条件:存在$1CUT状态时],
[条件:$nounが付与されている場合],[条件:存在$1状态时],
[条件:$noun効果が付与されている場合],[条件:存在$1状态时],
[確率:$percent],[概率:$1],
[確率:$other],[概率:$1],
[最大:$num回],[最多:$1次],
[$nounが$ukいほど効果UP],[$1越$2效果越好],
[$nounが$ukい程効果UP],[$1越$2效果越好],
[$nounが$ukない程効果UP],[$1越$2效果越好],
[$nounが$ukないほど効果UP],[$1越$2效果越好],
[超過分は$nounに変換],[超出的部分转为$1],
[$noun無視],[无视$1],
[$num回],[$1次],
[ダメージを受けるまで],[受到伤害以前],
トラブル発生率,事故触发概率,
必ず最後にアピールを行い,必定最后行动,
必ず最初にアピールを行い,必定最先行动,
